name;type;episodes;rating
Keroro Gunsou;TV;358;793
Lupin III: Part II;TV;155;793
Macross F Movie 1: Itsuwari no Utahime;Movie;1;793
Mobile Suit Gundam Seed;TV;50;793
Nodame Cantabile Finale Special;Special;1;793
Paradise Kiss;TV;12;793
Saint Seiya: The Hades Chapter Sanctuary - Yomigaerishi Gold Saint-tachi no Shinwa;Special;2;793
Saraiya Goyou;TV;12;793
Shiki Specials;Special;2;793
Slayers Try;TV;26;793
To LOVE-Ru Darkness 2nd Specials;Special;2;793
Transformers the Movie;Movie;1;793
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune;Movie;1;793
Akatsuki no Yona OVA;OVA;3;792
Ao no Exorcist;TV;25;792
Claymore;TV;26;792
Detective Conan: Episode One - Chiisaku Natta Meitantei;Special;1;810
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D;Movie;1;791
Golden Time;TV;24;792
Hadashi no Gen;Movie;1;792
Hayate no Gotoku!!;TV;25;792
Jinrui wa Suitai Shimashita;TV;12;792
Little Witch Academia: Mahoujikake no Parade;Movie;1;792
Lucky?Star: Original na Visual to Animation;OVA;1;792
New Initial D Movie: Legend 1 - Kakusei;Movie;1;792
Pandora Hearts;TV;25;792
Rurouni Kenshin DVD-BOX Special Ending;Special;1;792
Berserk: Ougon Jidai-hen I - Haou no Tamago;Movie;1;791
Capeta;TV;52;791
Charlotte;TV;13;791
Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.;Movie;1;791
Lupin the IIIrd: Jigen Daisuke no Bohyou;Movie;1;791
Master Keaton OVA;OVA;15;791
Mobile Suit Gundam Thunderbolt: December Sky;Movie;1;792
Nisekoi;TV;20;791
Yamada-kun to 7-nin no Majo (TV);TV;12;791
Aoi Bungaku Series;TV;12;790
Arashi no Yoru ni;Movie;1;790
Bokura wa Minna Kawaisou;TV;12;790
Densetsu Kyojin Ideon: Hatsudou-hen;Movie;1;790
Hana yori Dango;TV;51;790
Hanasakeru Seishounen;TV;39;790
Hidamari Sketch x 365;TV;13;790
Hidamari Sketch x SP;Special;2;790
Ie Naki Ko;TV;51;790
Michiko to Hatchin;TV;22;790
New Initial D Movie: Legend 2 - Tousou;Movie;1;790
Sexy Commando Gaiden: Sugoiyo!! Masaru-san;TV;48;790
Tegamibachi Reverse;TV;25;790
Ao Haru Ride;TV;12;789
Bishoujo Senshi Sailor Moon S;TV;38;789
Digimon Adventure;TV;54;789
Furiko;Special;1;789
Heartcatch Precure!;TV;49;789
InuYasha;TV;167;789
InuYasha: Kuroi Tessaiga;Special;1;789
InuYasha: Tenka Hadou no Ken;Movie;1;789
K-On!!: Keikaku!;Special;1;789
Kumo no Mukou, Yakusoku no Basho;Movie;1;789
Lupin III vs. Detective Conan;Special;1;789
Mobile Suit Gundam;TV;43;789
Mobile Suit Gundam III: Encounters in Space;Movie;1;789
Noragami OVA;OVA;2;789
Seitokai Yakuindomo OVA;OVA;8;789
Urusei Yatsura Movie 2: Beautiful Dreamer;Movie;1;789
Yamato Nadeshiko Shichihenge?;TV;25;789
Another;TV;12;788
Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen;ONA;8;788
Ao no Exorcist Movie;Movie;1;788
Arslan Senki (TV);TV;25;788
Binbougami ga!;TV;13;788
Black Jack;OVA;12;788
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka;TV;13;788
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou;Special;1;788
Hetalia World Series Specials;Special;4;788
K-On!: Live House!;Special;1;788
Kyou kara Maou!;TV;78;788
Kyoukai no Kanata;TV;12;788
Mind Game;Movie;1;788
Oniisama e...;TV;39;788
Servamp Specials;Special;3;788
Shingeki no Kyojin OVA;OVA;3;788
Tamayura: Sotsugyou Shashin Part 3 - Akogare;Movie;1;788
The Last: Naruto the Movie;Movie;1;788
The Law of Ueki;TV;51;788
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu;Movie;1;787
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen;TV;12;787
Hai to Gensou no Grimgar;TV;12;787
High School DxD New;TV;12;787
Huyao Xiao Hongniang: Yue Hong;ONA;13;787
Jin-Rou;Movie;1;787
K-On!;TV;13;787
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You;Movie;1;787
Lucky?Star;TV;24;787
Mobile Suit Gundam Wing;TV;49;787
Mobile Suit Gundam Wing: Endless Waltz;OVA;3;787
Piano no Mori;Movie;1;787
Ranma �;TV;161;787
Ranma � OVA;OVA;6;787
Sidonia no Kishi;TV;12;787
Slayers;TV;26;787
Sora no Otoshimono: Tokeijikake no Angeloid;Movie;1;787
Soukou Kihei Votoms;TV;52;787
Tantei Gakuen Q;TV;45;787
Toaru Kagaku no Railgun;TV;24;787
Uchuu Kaizoku Captain Harlock;TV;42;787
Watashi no Ashinaga Ojisan;TV;40;787
Break Blade 2: Ketsubetsu no Michi;Movie;1;786
Chibi Maruko-chan;TV;142;786
Detective Conan Movie 16: The Eleventh Striker;Movie;1;786
Genshiken 2;TV;12;786
Giovanni no Shima;Movie;1;786
Hellsing I: Digest for Freaks;OVA;1;786
Kuroko no Basket: Mou Ikkai Yarimasen ka;Special;1;786
Macross F: Close Encounter - Deculture Edition;Special;1;786
Non Non Biyori Repeat OVA;OVA;1;786
Nurarihyon no Mago OVA;OVA;2;786
One Piece: Episode of Luffy - Hand Island no Bouken;Special;1;786
One Punch Man Specials;Special;6;786
Seikai no Senki;TV;13;786
Sora no Otoshimono: Forte;TV;12;786
Space?Dandy;TV;13;786
Arakawa Under the Bridge x Bridge;TV;13;785
Detective Conan Movie 10: Promo Special;Special;1;785
Elfen Lied;TV;13;785
Hachimitsu to Clover Specials;Special;2;785
Hello! Lady Lynn;TV;36;785
Kami nomi zo Shiru Sekai: Tenri-hen;OVA;2;785
Kimi to Boku.;TV;13;785
Mahou Sensei Negima! Mou Hitotsu no Sekai;OVA;4;785
Maria-sama ga Miteru: Haru;TV;13;785
Mobile Suit Gundam 0080: War in the Pocket;OVA;6;785
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?;TV;10;785
Nanatsu no Taizai OVA;OVA;2;785
One Punch Man: Road to Hero;OVA;1;785
Romeo x Juliet;TV;24;785
School Rumble Ichi Gakki Hoshuu;OVA;2;785
Tamayura: Sotsugyou Shashin Part 2 - Hibiki;Movie;1;785
Ajin Part 1: Shoudou;Movie;1;784
Akame ga Kill!;TV;24;784
AKB0048: Next Stage;TV;13;784
Change!! Getter Robo: Sekai Saigo no Hi;OVA;13;784
Death Note Rewrite;Special;2;784
Detective Conan Movie 17: Private Eye in the Distant Sea;Movie;1;784
Hakuouki Sekkaroku;OVA;6;784
Hoozuki no Reitetsu;TV;13;784
Kuroko no Basket NG-shuu;Special;9;784
Memories;Movie;3;784
Naruto: Shippuuden Movie 6 - Road to Ninja;Movie;1;784
Owari no Seraph: Nagoya Kessen-hen;TV;12;784
Seikai no Senki III;OVA;2;784
Seitokai Yakuindomo*;TV;13;784
Space Cobra;TV;31;784
Toaru Majutsu no Index II;TV;24;784
Tsuritama;TV;12;784
Yowamushi Pedal Movie;Movie;1;784
Yuru Yuri Nachuyachumi!+;Special;2;784
Baka to Test to Shoukanjuu;TV;13;783
Densetsu no Yuusha no Densetsu;TV;24;783
Fairy Tail OVA;OVA;5;783
Ichigo Mashimaro OVA;OVA;3;783
Kingsglaive: Final Fantasy XV;Movie;1;783
Mobile Police Patlabor 2: The Movie;Movie;1;783
Persona 3 the Movie 1: Spring of Birth;Movie;1;783
Rozen Maiden: Ouvert�re;Special;2;783
Seikai no Monshou;TV;13;783
Shaman King;TV;64;783
Sword Art Online;TV;25;783
Tetsuwan Birdy Decode:02;TV;12;783
Bishoujo Senshi Sailor Moon Crystal Season III;TV;13;783
Bokurano;TV;24;782
Bounen no Xamdou;ONA;26;782
Break Blade 6: Doukoku no Toride;Movie;1;782
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks;Special;1;782
Hakkenden: Touhou Hakken Ibun 2nd Season;TV;13;782
Hidamari Sketch x 365 Specials;Special;3;782
K: Return of Kings;TV;13;782
Kill la Kill Special;Special;1;782
Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV);TV;373;782
Macross Plus;OVA;4;782
Macross Plus Movie Edition;Movie;1;782
Mitsudomoe Zouryouchuu!;TV;8;782
Prince of Tennis: Another Story - Messages From Past and Future;OVA;4;782
Saint Seiya: Meiou Hades Elysion-hen;OVA;6;782
To LOVE-Ru Darkness;TV;12;782
To LOVE-Ru Darkness OVA;OVA;6;782
Working!!;TV;13;782
Yume-iro P�tissi�re SP Professional;TV;13;782
Daa! Daa! Daa!;TV;78;781
Digimon Adventure: Bokura no War Game!;Movie;1;781
Eikoku Koi Monogatari Emma;TV;12;781
Full Metal Panic!;TV;24;781
Guilty Crown;TV;22;781
Hoshi wo Ou Kodomo;Movie;1;781
Ima, Soko ni Iru Boku;TV;13;781
Jigoku Shoujo Mitsuganae;TV;26;781
Kara no Kyoukai 1: Fukan Fuukei;Movie;1;781
Kimagure Orange?Road: Ano Hi ni Kaeritai;Movie;1;781
Kono Subarashii Sekai ni Shukufuku wo! OVA;OVA;1;781
Kubikiri Cycle: Aoiro Savant to Zaregototsukai;OVA;8;782
Lupin the Third: Mine Fujiko to Iu Onna;TV;13;781
Minami-ke;TV;13;781
Naruto;TV;220;781
New Game!;TV;12;781
Shigatsu wa Kimi no Uso: Moments;OVA;1;781
Top wo Nerae 2! Diebuster;OVA;6;781
Baka to Test to Shoukanjuu: Matsuri;OVA;2;780
Blood+;TV;50;780
Chrno Crusade;TV;24;780
Free!: FrFr - Short Movie;Special;7;780
Fruits Basket;TV;26;780
Gakuen Alice;TV;26;780
Haikyuu!! Movie 2: Shousha to Haisha;Movie;1;781
Hourou Musuko;TV;11;780
Huyao Xiao Hongniang: Wangquan Fugui;ONA;14;780
Shoukoujo Sara;TV;46;780
Soredemo Sekai wa Utsukushii;TV;12;780
Tenkuu no Escaflowne;TV;26;780
The Disappearance of Conan Edogawa: The Worst Two Days in History;Special;1;780
To LOVE-Ru Darkness 2nd;TV;12;780
Tokyo Ravens;TV;24;780
Aikatsu! Movie;Movie;1;779
Angel Beats! Specials;Special;2;779
Aria The Animation;TV;13;779
Break Blade 1: Kakusei no Toki;Movie;1;779
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu;Movie;1;779
Denpa-teki na Kanojo;OVA;2;779
Dragon Quest: Dai no Daibouken;TV;46;779
Higashi no Eden Soushuuhen: Air Communication;Movie;1;779
Ichigo Mashimaro Encore;OVA;2;779
Inu x Boku SS Special;Special;1;779
Jigoku Shoujo;TV;26;779
New Initial D Movie: Legend 3 - Mugen;Movie;1;779
Nobunaga Concerto;TV;10;779
Poyopoyo Kansatsu Nikki;TV;52;779
Pretty Rhythm: Rainbow Live;TV;51;779
Ranma � Super;OVA;3;779
Servant x Service;TV;13;779
Shakugan no Shana II (Second);TV;24;779
Tales of Vesperia: The First Strike;Movie;1;779
Toaru Hikuushi e no Tsuioku;Movie;1;779
Towa no Quon 6: Towa no Quon;Movie;1;779
Ajin;TV;13;778
Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page;OVA;1;777
Bishoujo Senshi Sailor Moon R: The Movie;Movie;1;778
Code Geass: Hangyaku no Lelouch Special Edition Black Rebellion;OVA;1;778
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi;Special;1;778
Ga-Rei: Zero;TV;12;778
Higashi no Eden Movie II: Paradise Lost;Movie;1;778
Jungle wa Itsumo Hare nochi Guu Final;OVA;7;778
Kore wa Zombie Desu ka? of the Dead;TV;10;778
Kyoukai no Kanata: Shinonome;Special;1;778
Minami-ke Tadaima;TV;13;778
Momo e no Tegami;Movie;1;778
Nurarihyon no Mago;TV;24;778
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi;Special;1;778
Orange;TV;13;778
Over Drive;TV;26;778
R.O.D OVA;OVA;3;778
Rakudai Kishi no Cavalry;TV;12;778
Ranma � Specials;OVA;2;778
Rozen Maiden: Tr�umend;TV;12;778
Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu;Movie;1;778
Special A;TV;24;778
Tenchi Muyou! Ryououki 2nd Season;OVA;6;778
Texhnolyze;TV;22;778
Urusei Yatsura;TV;195;778
Utawarerumono;TV;26;778
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky;OVA;3;777
Black Jack 21;TV;17;777
Digimon Adventure tri. 2: Ketsui;Movie;1;777
Fushigi Yuugi;TV;52;777
Ichigo Mashimaro;TV;12;777
JoJo no Kimyou na Bouken: Phantom Blood;Movie;1;777
Koyomimonogatari;ONA;12;777
Mobile Suit Gundam 00 Special Edition;OVA;3;777
Ojamajo Doremi Na-i-sho;OVA;13;777
One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima;Movie;1;777
Sengoku Basara Movie: The Last Party;Movie;1;777
Shingeki no Bahamut: Genesis;TV;12;777
Tenchi Muyou! Ryououki;OVA;6;777
Tonari no Kaibutsu-kun;TV;13;777
Zero no Tsukaima F;TV;12;777
Ao Haru Ride OVA;OVA;2;776
Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito;Movie;1;776
Bokura wa Minna Kawaisou: Hajimete no;Special;1;776
Bungou Stray Dogs;TV;12;776
Detective Conan Movie 19: The Hellfire Sunflowers;Movie;1;777
Doraemon (1979);TV;1787;776
Genshiken;TV;12;776
Ginga Tetsudou 999 (Movie);Movie;1;776
Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!;OVA;1;776
Hakuouki Hekketsuroku;TV;10;776
Hetalia Axis Powers;ONA;52;776
Itazura na Kiss;TV;25;776
Lupin III;TV;23;776
Mahouka Koukou no Rettousei;TV;26;776
Majin Tantei Nougami Neuro;TV;25;776
Master Keaton;TV;24;776
No.6;TV;11;776
One Piece Movie 4: Dead End no Bouken;Movie;1;776
Senjou no Valkyria;TV;26;776
Tegamibachi;TV;25;776
Towa no Quon 4: Guren no Shoushin;Movie;1;776
Turn A Gundam;TV;50;776
Bleach Movie 4: Jigoku-hen;Movie;1;775
D-Frag!;TV;12;775
Detective Conan Movie 09: Promo Special;Special;1;775
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen;Special;1;775
Go! Princess Precure;TV;50;774
Hayate no Gotoku!;TV;52;775
InuYasha: Kagami no Naka no Mugenjo;Movie;1;775
Kanojo to Kanojo no Neko: Everything Flows;TV;4;775
Kara no Kyoukai Remix: Gate of Seventh Heaven;Movie;1;775
Kino no Tabi: The Beautiful World - Tou no Kuni;Special;1;775
Kono Danshi, Ningyo Hiroimashita.;OVA;1;775
Kuroko no Basket: Baka ja Katenai no yo!;OVA;1;775
Mahoujin Guru Guru;TV;45;775
One Piece: Heart of Gold;Special;1;775
Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa;Movie;1;775
The iDOLM@STER;TV;25;775
Trapp Ikka Monogatari;TV;40;775
Utawarerumono Specials;Special;6;775
World Trigger;TV;73;775
Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering;TV;12;775
Bishoujo Senshi Sailor Moon R;TV;43;774
Black Jack (TV);TV;61;774
Cardcaptor Sakura Movie 1;Movie;1;774
Detective Conan: Black History;Special;1;774
Fullmetal Alchemist: The Conqueror of Shamballa;Movie;1;774
Genshiken OVA;OVA;3;774
Hal;Movie;1;774
Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... Desu ka!?;Movie;1;774
Higashi no Eden Movie I: The King of Eden;Movie;1;774
Hungry Heart: Wild Striker;TV;52;774
Initial D Battle Stage 2;OVA;1;774
Kekkai Sensen;TV;12;774
Love Stage!! OVA;OVA;1;774
Mahou Shoujo Lyrical Nanoha StrikerS;TV;26;774
Mousou Dairinin;TV;13;774
Muumindani no Suisei;Movie;1;774
Noein: Mou Hitori no Kimi e;TV;24;774
Persona 3 the Movie 3: Falling Down;Movie;1;774
Sengoku Basara Two;TV;12;774
Shakugan no Shana;TV;24;774
Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season;TV;13;774
Taiyou no Ko Esteban;TV;39;774
Toriko;TV;147;774
UN-GO: Inga-ron;Movie;1;774
Crayon Shin-chan;TV;Unknown;773
Diamond no Ace OVA;OVA;3;772
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi;Movie;1;773
Flip Flappers;TV;13;773
GetBackers;TV;49;773
K;TV;13;773
Katekyo Hitman Reborn! Special;ONA;1;773
Kekkaishi;TV;52;773
